order_date,channel,customer,site_name,product_code,qty,unit_price_ex_gst,unit_price_inc_gst,order_ref,notes
2025-01-24,DIRECT,Metro Liquor,Sydney,BITTERS50,13,36.00,39.60,PO1083,
2025-01-25,RETAIL,Sunset Bars,Brisbane,MIXER750,14,38.00,41.80,PO1084,Launch deal
2025-01-26,VENUE,Nardi Cellars,Geelong,GIN700,15,30.00,33.00,PO1085,
2025-01-27,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,16,32.00,35.20,PO1086,
2025-01-28,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,17,34.00,37.40,PO1087,
2025-01-29,RETAIL,Metro Liquor,Sydney,BITTERS50,18,36.00,39.60,PO1088,
2025-01-30,VENUE,Sunset Bars,Brisbane,MIXER750,19,38.00,41.80,PO1089,
2025-01-01,ONLINE,Nardi Cellars,Geelong,GIN700,20,30.00,33.00,PO1090,
2025-01-02,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,21,32.00,35.20,PO1091,Launch deal
2025-01-03,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,22,34.00,37.40,PO1092,
2025-01-04,VENUE,Metro Liquor,Sydney,BITTERS50,23,36.00,39.60,PO1093,
2025-01-05,ONLINE,Sunset Bars,Brisbane,MIXER750,24,38.00,41.80,PO1094,
2025-01-06,DIRECT,Nardi Cellars,Geelong,GIN700,25,30.00,33.00,PO1095,
2025-01-07,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,2,32.00,35.20,PO1096,
2025-01-08,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,3,34.00,37.40,PO1097,
2025-01-09,ONLINE,Metro Liquor,Sydney,BITTERS50,4,36.00,39.60,PO1098,Launch deal
2025-01-10,DIRECT,Sunset Bars,Brisbane,MIXER750,5,38.00,41.80,PO1099,
2025-01-11,RETAIL,Nardi Cellars,Geelong,GIN700,6,30.00,33.00,PO1100,
2025-01-12,VENUE,Regional Escapes,Torquay,RTD250-Lemon,7,32.00,35.20,PO1101,
2025-01-13,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,8,34.00,37.40,PO1102,
2025-01-14,DIRECT,Metro Liquor,Sydney,BITTERS50,9,36.00,39.60,PO1103,
2025-01-15,RETAIL,Sunset Bars,Brisbane,MIXER750,10,38.00,41.80,PO1104,
2025-01-16,VENUE,Nardi Cellars,Geelong,GIN700,11,30.00,33.00,PO1105,Launch deal
2025-01-17,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,12,32.00,35.20,PO1106,
2025-01-18,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,13,34.00,37.40,PO1107,
2025-01-19,RETAIL,Metro Liquor,Sydney,BITTERS50,14,36.00,39.60,PO1108,
2025-01-20,VENUE,Sunset Bars,Brisbane,MIXER750,15,38.00,41.80,PO1109,
2025-01-21,ONLINE,Nardi Cellars,Geelong,GIN700,16,30.00,33.00,PO1110,
2025-01-22,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,17,32.00,35.20,PO1111,
2025-01-23,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,18,34.00,37.40,PO1112,Launch deal
2025-01-24,VENUE,Metro Liquor,Sydney,BITTERS50,19,36.00,39.60,PO1113,
2025-01-25,ONLINE,Sunset Bars,Brisbane,MIXER750,20,38.00,41.80,PO1114,
2025-01-26,DIRECT,Nardi Cellars,Geelong,GIN700,21,30.00,33.00,PO1115,
2025-01-27,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,22,32.00,35.20,PO1116,
2025-01-28,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,23,34.00,37.40,PO1117,
2025-01-29,ONLINE,Metro Liquor,Sydney,BITTERS50,24,36.00,39.60,PO1118,
2025-01-30,DIRECT,Sunset Bars,Brisbane,MIXER750,25,38.00,41.80,PO1119,Launch deal
2025-01-01,RETAIL,Nardi Cellars,Geelong,GIN700,2,30.00,33.00,PO1120,
2025-01-02,VENUE,Regional Escapes,Torquay,RTD250-Lemon,3,32.00,35.20,PO1121,
2025-01-03,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,4,34.00,37.40,PO1122,
2025-01-04,DIRECT,Metro Liquor,Sydney,BITTERS50,5,36.00,39.60,PO1123,
2025-01-05,RETAIL,Sunset Bars,Brisbane,MIXER750,6,38.00,41.80,PO1124,
2025-01-06,VENUE,Nardi Cellars,Geelong,GIN700,7,30.00,33.00,PO1125,
2025-01-07,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,8,32.00,35.20,PO1126,Launch deal
2025-01-08,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,9,34.00,37.40,PO1127,
2025-01-09,RETAIL,Metro Liquor,Sydney,BITTERS50,10,36.00,39.60,PO1128,
2025-01-10,VENUE,Sunset Bars,Brisbane,MIXER750,11,38.00,41.80,PO1129,
2025-01-11,ONLINE,Nardi Cellars,Geelong,GIN700,12,30.00,33.00,PO1130,
2025-01-12,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,13,32.00,35.20,PO1131,
2025-01-13,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,14,34.00,37.40,PO1132,
2025-01-14,VENUE,Metro Liquor,Sydney,BITTERS50,15,36.00,39.60,PO1133,Launch deal
2025-01-15,ONLINE,Sunset Bars,Brisbane,MIXER750,16,38.00,41.80,PO1134,
2025-01-16,DIRECT,Nardi Cellars,Geelong,GIN700,17,30.00,33.00,PO1135,
2025-01-17,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,18,32.00,35.20,PO1136,
2025-01-18,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,19,34.00,37.40,PO1137,
2025-01-19,ONLINE,Metro Liquor,Sydney,BITTERS50,20,36.00,39.60,PO1138,
2025-01-20,DIRECT,Sunset Bars,Brisbane,MIXER750,21,38.00,41.80,PO1139,
2025-01-21,RETAIL,Nardi Cellars,Geelong,GIN700,22,30.00,33.00,PO1140,Launch deal
2025-01-22,VENUE,Regional Escapes,Torquay,RTD250-Lemon,23,32.00,35.20,PO1141,
2025-01-23,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,24,34.00,37.40,PO1142,
2025-01-24,DIRECT,Metro Liquor,Sydney,BITTERS50,25,36.00,39.60,PO1143,
2025-01-25,RETAIL,Sunset Bars,Brisbane,MIXER750,2,38.00,41.80,PO1144,
2025-01-26,VENUE,Nardi Cellars,Geelong,GIN700,3,30.00,33.00,PO1145,
2025-01-27,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,4,32.00,35.20,PO1146,
2025-01-28,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,5,34.00,37.40,PO1147,Launch deal
2025-01-29,RETAIL,Metro Liquor,Sydney,BITTERS50,6,36.00,39.60,PO1148,
2025-01-30,VENUE,Sunset Bars,Brisbane,MIXER750,7,38.00,41.80,PO1149,
2025-01-01,ONLINE,Nardi Cellars,Geelong,GIN700,8,30.00,33.00,PO1150,
2025-01-02,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,9,32.00,35.20,PO1151,
2025-01-03,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,10,34.00,37.40,PO1152,
2025-01-04,VENUE,Metro Liquor,Sydney,BITTERS50,11,36.00,39.60,PO1153,
2025-01-05,ONLINE,Sunset Bars,Brisbane,MIXER750,12,38.00,41.80,PO1154,Launch deal
2025-01-06,DIRECT,Nardi Cellars,Geelong,GIN700,13,30.00,33.00,PO1155,
2025-01-07,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,14,32.00,35.20,PO1156,
2025-01-08,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,15,34.00,37.40,PO1157,
2025-01-09,ONLINE,Metro Liquor,Sydney,BITTERS50,16,36.00,39.60,PO1158,
2025-01-10,DIRECT,Sunset Bars,Brisbane,MIXER750,17,38.00,41.80,PO1159,
2025-01-11,RETAIL,Nardi Cellars,Geelong,GIN700,18,30.00,33.00,PO1160,
2025-01-12,VENUE,Regional Escapes,Torquay,RTD250-Lemon,19,32.00,35.20,PO1161,Launch deal
2025-01-13,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,20,34.00,37.40,PO1162,
2025-01-14,DIRECT,Metro Liquor,Sydney,BITTERS50,21,36.00,39.60,PO1163,
2025-01-15,RETAIL,Sunset Bars,Brisbane,MIXER750,22,38.00,41.80,PO1164,
2025-01-16,VENUE,Nardi Cellars,Geelong,GIN700,23,30.00,33.00,PO1165,
2025-01-17,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,24,32.00,35.20,PO1166,
2025-01-18,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,25,34.00,37.40,PO1167,
2025-01-19,RETAIL,Metro Liquor,Sydney,BITTERS50,2,36.00,39.60,PO1168,Launch deal
2025-01-20,VENUE,Sunset Bars,Brisbane,MIXER750,3,38.00,41.80,PO1169,
2025-01-21,ONLINE,Nardi Cellars,Geelong,GIN700,4,30.00,33.00,PO1170,
2025-01-22,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,5,32.00,35.20,PO1171,
2025-01-23,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,6,34.00,37.40,PO1172,
2025-01-24,VENUE,Metro Liquor,Sydney,BITTERS50,7,36.00,39.60,PO1173,
2025-01-25,ONLINE,Sunset Bars,Brisbane,MIXER750,8,38.00,41.80,PO1174,
2025-01-26,DIRECT,Nardi Cellars,Geelong,GIN700,9,30.00,33.00,PO1175,Launch deal
2025-01-27,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,10,32.00,35.20,PO1176,
2025-01-28,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,11,34.00,37.40,PO1177,
2025-01-29,ONLINE,Metro Liquor,Sydney,BITTERS50,12,36.00,39.60,PO1178,
2025-01-30,DIRECT,Sunset Bars,Brisbane,MIXER750,13,38.00,41.80,PO1179,
2025-01-01,RETAIL,Nardi Cellars,Geelong,GIN700,14,30.00,33.00,PO1180,
2025-01-02,VENUE,Regional Escapes,Torquay,RTD250-Lemon,15,32.00,35.20,PO1181,
2025-01-03,ONLINE,Coastal Markets,Melbourne,RTD250-BloodOrange,16,34.00,37.40,PO1182,Launch deal
2025-01-04,DIRECT,Metro Liquor,Sydney,BITTERS50,17,36.00,39.60,PO1183,
2025-01-05,RETAIL,Sunset Bars,Brisbane,MIXER750,18,38.00,41.80,PO1184,
2025-01-06,VENUE,Nardi Cellars,Geelong,GIN700,19,30.00,33.00,PO1185,
2025-01-07,ONLINE,Regional Escapes,Torquay,RTD250-Lemon,20,32.00,35.20,PO1186,
2025-01-08,DIRECT,Coastal Markets,Melbourne,RTD250-BloodOrange,21,34.00,37.40,PO1187,
2025-01-09,RETAIL,Metro Liquor,Sydney,BITTERS50,22,36.00,39.60,PO1188,
2025-01-10,VENUE,Sunset Bars,Brisbane,MIXER750,23,38.00,41.80,PO1189,Launch deal
2025-01-11,ONLINE,Nardi Cellars,Geelong,GIN700,24,30.00,33.00,PO1190,
2025-01-12,DIRECT,Regional Escapes,Torquay,RTD250-Lemon,25,32.00,35.20,PO1191,
2025-01-13,RETAIL,Coastal Markets,Melbourne,RTD250-BloodOrange,2,34.00,37.40,PO1192,
2025-01-14,VENUE,Metro Liquor,Sydney,BITTERS50,3,36.00,39.60,PO1193,
2025-01-15,ONLINE,Sunset Bars,Brisbane,MIXER750,4,38.00,41.80,PO1194,
2025-01-16,DIRECT,Nardi Cellars,Geelong,GIN700,5,30.00,33.00,PO1195,
2025-01-17,RETAIL,Regional Escapes,Torquay,RTD250-Lemon,6,32.00,35.20,PO1196,Launch deal
2025-01-18,VENUE,Coastal Markets,Melbourne,RTD250-BloodOrange,7,34.00,37.40,PO1197,
2025-01-19,ONLINE,Metro Liquor,Sydney,BITTERS50,8,36.00,39.60,PO1198,
2025-01-20,DIRECT,Sunset Bars,Brisbane,MIXER750,9,38.00,41.80,PO1199,
